Symbol,EPS Next 5Y in percent
AAPL,15.43
ADBE,18
BA,12.33
CAT,32.1
DIS,50.69
DOCU,46.8
ENPH,43.51
ETSY,52.8
GOOGL,24.41
GS,17.45
HD,10.6
JNJ,8.12
JPM,10.7
KO,9.71
LMT,4.35
MCD,21.61
MMM,8
MSFT,16.75
NKE,14.95
NVDA,32.6
PG,6.95
QCOM,32.19
SQ,54.41
TGT,13.29
TSLA,73.06
UNP,16.14
V,10.9
VZ,3.57
XOM,1
ZM,13.58
